按键,键码,按键,键码
A,65,6(数字键盘),102
B,66,7(数字键盘),103
C,67,8(数字键盘),104
D,68,9(数字键盘),105
E,69,*,106
F,70,!,33
G,71,Enter,13
H,72,@,64
I,73,#,35
J,74,$,36
K,75,F1,112
L,76,F2,113
M,77,F3,114
N,78,F4,115
O,79,F5,116
P,80,F6,117
Q,81,F7,118
R,82,F8,119
S,83,F9,120
T,84,F10,121
U,85,F11,122
V,86,F12,123
W,87,Backspace,8
X,88,Tab,9
Y,89,Clear,12
Z,90,Shift,16
0(小键盘),48,Control,17
1(小键盘),49,Alt,18
2(小键盘),50,Cap Lock,20
3(小键盘),51,Esc,27
4(小键盘),52,Spacebar,32
5(小键盘),53,Page Up,33
6(小键盘),54,Page Down,34
7(小键盘),55,End,35
8(小键盘),56,Home,36
9(小键盘),57,Left Arrow,37
0(数字键盘),96,Up Arrow,38
1(数字键盘),97,Right Arrow,39
2(数字键盘),98,Down Arrow,40
3(数字键盘),99,Insert,45
4(数字键盘),100,Delete,46
5(数字键盘),101,Num Lock,144
;,59,:,58
=,61,+,43
",",44,<,60
-,45,_,95
.,46,>,62
/,47,?,63
`,96,~,126
[,91,{,123
\,92,|,124
},125,],93
a,97,b,98
c,99,d,100
e,101,f,102
g,103,h,104
i,105,j,106
k,107,l,108
m,109,n,110
o,111,p,112
q,113,r,114
s,115,t,116
u,117,v,118
w,119,x,120
y,121,z,122
